Year,Construction_A,Construction_D,Furniture_A,Furniture_D,Newsprint_A,Newsprint_D,Printing_Writing_A,Printing_Writing_D,Other_A,Other_D
2008,114998537627,1279945151,363843301606,6954093406,1672103985,693671633,13451732686,2340886095,19084370656,5794891033
2009,124268452675,1296744215,372471168238,6959626695,1785784296,755028843,14492170769,2543144152,20980798087,6387263265
2010,133803778601,1313627206,384360211127,6964856110,1888379125,795675963,15505286807,2745140705,22906085723,7012265004
2011,147136495625,1330487213,396804990542,6977695228,1905693078,821383727,16651270149,2957795190,24838899349,7636769724
2012,160449146458,1346731443,414378313778,7004399287,1853477013,831176242,17840058599,3197146361,26742958694,8254336994
2013,173150584328,1361484925,432602763707,7037551425,1804810125,826775289,18886999678,3397851799,28337236781,8835384492
2014,183048755296,1375799616,453485231643,7082837067,1714649826,798875760,19619801450,3578953924,29145817096,9282724642
2015,193621010941,1387498802,475338837274,7138912186,1590565325,748343958,20199412452,3741292518,29858284481,9544004981
2016,204662420655,1395429164,497254617734,7219533688,1466864450,699471487,20744265362,3905428803,30545942752,9697193252
2017,215323970496,1401493940,520216787932,7327833759,1326159638,648341011,21100536579,4034465255,31216477745,9896466291
2018,223948167953,1409748456,545684307634,7466446065,1217969635,591534223,21427082751,4145162060,31918473524,10177981017
2019,233433228691,1422313441,568064223634,7636057667,1172030700,550927611,21881014786,4262000676,32713988462,10398215844
2020,243820278614,1438127109,592112813298,7833005053,1170709188,530182209,22469755036,4385319382,33703352361,10646276115
2021,251880402236,1458917256,612253568689,8066456978,1199672940,523448837,23210517418,4499445832,34927236492,10998974913
2022,258534803725,1486317933,635346994466,8329176847,1241728090,534487600,24114689647,4613027499,36290068319,11432009054
2023,265539532453,1520233112,660087554767,8619614180,1286637090,554135556,25185076933,4748618134,37688773290,11877166108
2024,272907461588,1562462158,685291870261,8736271174,1332608294,574255506,26402429689,4929043146,39127440520,12332903991
2025,280640743838,1614038387,711651632459,8762791487,1379907918,594853909,27746323671,5141080812,40613178208,12801206032
2026,288761814641,1678284217,740832261883,8953093223,1428823827,615940693,29208492133,5374835205,42155331968,13287290325
2027,297274229131,1757405509,771875071490,9162486500,1479575182,637798167,30777397963,5650789238,43761328692,13792382645
2028,306184622395,1853860231,805410599571,9489520938,1532208019,660455327,32437627853,5956803113,45433504143,14318096045
2029,315497360665,1970135267,841377886634,9931218883,1586768326,683941932,34188065949,6278876323,47173603441,14865796818
2030,325211015436,2108326171,879298811924,10415276554,1643302297,708288499,36034128699,6617856441,48982614071,15435869539
2031,335341379664,2272331776,919805206336,11038368516,1701856622,733526311,37981550129,6974637887,50860996536,16027803375
2032,345744593635,2463243184,961912250311,11751814579,1753350665,757572302,39911420486,7338802664,52649810761,16625601294
2033,356410516292,2683160312,1005553465171,12547607619,1799375648,780261873,41829668958,7709920941,54349867311,17202393995
2034,367501736949,2951270652,1050845282115,13441703757,1841709599,801451226,43743196071,8087546553,55982799898,17739964782
2035,378249824989,3194083338,1097891217338,14443771873,1882299016,821020687,45659914349,8471220106,57596087125,18251187133
2036,388778134125,3421656458,1146599648848,15526231864,1923236735,838876891,47588786812,8860471970,59255865339,18777141661
2037,399907132499,3715469947,1196592491527,16618539499,1963808678,856834273,49509711494,9251462236,60948046404,19316645648
2038,411433883380,4058632167,1247213906810,17582084638,2004262111,874878754,51434924144,9643357602,62673981564,19867504158
2039,423210654942,4437130003,1299940710968,18604890249,2044867159,892999648,53378042190,10035311195,64437046038,20428385512
2040,435319342845,4857694675,1353506976957,19452505079,2085913826,911190085,55354101820,10426464918,66243098956,21000955913
2041,447425469445,5284553071,1409402336735,20309858613,2127708534,929447275,57379593374,10815951264,68099772245,21589574418
2042,459566013060,5717667104,1465726417187,20853437499,2169251137,947821190,59439753632,11214255304,70005146078,22194343012
2043,471709039198,6147403061,1524833012142,21403547460,2210759423,966300385,61540164964,11621397363,71960676282,22815154920
2044,483835397734,6564197212,1586020477961,21829444428,2252470433,984876417,63686888751,12037409010,73968289052,23452100957
2045,495474349111,6912223906,1650255201930,22265736800,2294637812,1003544208,65886472107,12462334842,76030480983,24105931592
2046,506573075687,7173783694,1718059273948,22798151707,2337528737,1022302262,68145953339,12896234132,78150165599,24777990635
2047,515216936060,7181814943,1786915640377,23375042709,2366855169,1038126567,70234445236,13319318454,79967822349,25431164809
2048,524762121037,7251725154,1856158483264,23917630991,2385534077,1050833594,72167305223,13730013157,81489921240,26004944004
2049,534067901807,7272622494,1928220456144,24838513244,2396686362,1060282105,73961586501,14126755484,82769508961,26459683158
2050,543463706536,7273149250,2000672968565,25808218093,2403597366,1066377218,75636033833,14508003533,83916248766,26826271921
2051,551386774446,7095012225,2075881378967,27228022866,2409672418,1069072468,77211070281,14872244695,85078876212,27197939631
2052,559711497450,6916861946,2150428574634,28605227545,2415465236,1071706497,78689850688,15219036006,86242529281,27573185413
2053,568703819095,6768745672,2224908436649,30036762370,2421040879,1074276505,80094333428,15547001938,87407852317,27949554514
2054,579327023705,6753160440,2299226116917,31519453029,2426467648,1076780636,81447986113,15854817188,88577436080,28325501427
2055,589880008179,6712192150,2373287184654,33049290186,2431816188,1079218044,82775741346,16141212336,89756208728,28702452124
2056,600478898125,6658173263,2446998398805,34621657350,2437158515,1081588921,84103946393,16404978447,90950668270,29084419213
2057,611527675381,6634048765,2520257814509,36229941453,2438285372,1082998591,85343076540,16661146299,92114660876,29466639444
2058,623761051581,6719040215,2592976275942,37869083573,2436141447,1083411884,86502349915,16909146574,93249791081,29841425470
2059,635777316876,6783164529,2665066682105,39534271355,2431712771,1082807185,87591587544,17148437019,94363638432,30203899415
2060,647572862240,6826606729,2736443656056,41221038351,2426013862,1081177353,88621188696,17378506478,95470946595,30558326448
2061,660624518321,6998485003,2807023030763,42925174990,2420073657,1078530042,89602102044,17598878564,96591248443,30916912497
2062,674106430622,7256080030,2875008394295,44688413287,2405525602,1073917979,90371152755,17793988661,97457263428,31251845462
2063,687135300209,7517832615,2940298027170,46506784438,2384419285,1067297453,90953512312,17962808857,98079891372,31518724006
2064,699699927640,7783040076,3002791253562,48374072076,2358859716,1058653081,91375427222,18104398148,98504410452,31689802291
2065,711789492420,8050917637,3062390357113,50281368668,2330980241,1047999295,91664136369,18217909909,98816986754,31790361050
2066,723393623082,8320597899,3119002947120,52216717492,2302913392,1035380553,91847780397,18302598307,99130554931,31891238903
2067,734478886800,8591297123,3172578311384,54170307076,2267401045,1021134317,91772437715,18351797975,99389340420,31986625999
2068,745036090104,8861988233,3223040850555,56123840649,2226435595,1005252750,91475267571,18364819931,99596163103,32067312360
2069,755056698193,9131556523,3270329280338,58056137288,2182021637,987753646,90994163058,18341108612,99760990380,32127657430
2070,764532908385,9398798246,3314399641047,59943917732,2136151386,968681278,90367621864,18280248536,99902220820,32173140170
